id;name;address;phone;website;jhi_type
1;mobile Fish;Home Loan Account Table Computer;(483) 617-6009;parsing red Chips;BOMON
2;Albania web-readiness;Namibia;102.932.4076;syndicate;BOMON
3;Automotive;Planner cross-platform access;(262) 461-6480;Regional;BOMON
4;hardware Costa Rica Mayotte;Industrial;749-389-5793 x05150;software scale interactive;BOMON
5;Plastic;Car Industrial deliverables;120.081.7777;Checking Account Identity deposit;BOMON
6;envisioneer;moratorium pixel withdrawal;(543) 197-8775 x27240;system Small;BOMON
7;Harbor Montana;Corporate Phased relationships;229.052.6189 x6826;RSS;BOMON
8;back-end;granular Direct contextually-based;408-383-0155 x4426;encompassing;BOMON
9;sky blue;Kenyan Shilling robust;292.264.7312 x90269;paradigms Home;BOMON
10;Lebanon;Designer Persistent;(073) 227-8346 x9635;Licensed hacking installation;BOMON
